,ResponseId,statement_1_applies,statement_2_applies,statement_3_applies,statement_4_applies,statement_5_applies,statement_6_applies,statement_7_applies,statement_8_applies,statement_9_applies,statement_10_applies
0,R_3K15tYj7HHWmT1I,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1,R_3K15tYj7HHWmT1I,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,R_7NRbO83E104AAr7,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,R_7NRbO83E104AAr7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,R_57y9Sdj22ll2ao6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,R_57y9Sdj22ll2ao6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,R_53rjepPj79m8STn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,R_53rjepPj79m8STn,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8,R_53QERHurxGoHlv3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
9,R_53QERHurxGoHlv3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,R_7wN4xWcyRbpDUqd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
11,R_7wN4xWcyRbpDUqd,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
12,R_6GIIHw4WBFqm7q9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,R_6GIIHw4WBFqm7q9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,R_1XdGQXrKFg4dZIw,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
15,R_1XdGQXrKFg4dZIw,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
16,R_2PBjqGkPPwdVPei,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,R_2PBjqGkPPwdVPei,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18,R_7uVwSc2QHid2Q8D,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
19,R_7uVwSc2QHid2Q8D,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20,R_1JlTi4W6iq11Awr,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,R_1JlTi4W6iq11Awr,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,R_51FIpA1tbKXkL4Z,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
23,R_51FIpA1tbKXkL4Z,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
24,R_1NWC68D3jMvPC6w,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
25,R_1NWC68D3jMvPC6w,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,R_6Ao5UDeSRYTH5iV,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,R_6Ao5UDeSRYTH5iV,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28,R_7Q6I8swhzEbQ2sM,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,R_7Q6I8swhzEbQ2sM,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,R_6exky3Ek6QkQXBx,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
31,R_6exky3Ek6QkQXBx,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,R_1ScVxWgf6zfPSYW,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
33,R_1ScVxWgf6zfPSYW,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
34,R_6ZUHcyMOpachi3e,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
35,R_6ZUHcyMOpachi3e,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
36,R_33kRmn6ncCzIWt3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
37,R_33kRmn6ncCzIWt3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
38,R_1tm84T1bz6RQgsg,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,R_1tm84T1bz6RQgsg,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
40,R_59taMm0IDP9Lgv6,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
